,identification,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),SO4 (mg/L),Cl (mg/L),HCO3 (mg/L),CO3 (mg/L),Ca (mMol/L),Mg (mMol/L),Na (mMol/L),K (mMol/L),SO4 (mMol/L),Cl (mMol/L),HCO3 (mMol/L),CO3 (mMol/L),GMC,hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,WClassCB,WClassCB hybrid,Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,WClassVL,WClassVL hybrid,Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,WClassVP,WClassVP hybrid,Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,WClassVR,WClassVR hybrid
0,OS101,3519.08055,242.402106,449.09607,801.5050269999999,9010.44491,628.8230580000001,1563.23795,138.80553600000002,87.80579245471331,9.973343180415553,19.53460535120255,20.49974108848722,93.80408209794287,17.73830911142454,25.620131604824962,2.313117184375417,Ca-SO4,0.7334032252295667,0.061131550845028394,0.012906820773663917,-1.5078892972247042,0.15759241969651167,-0.21005935624736702,2.1947230316721584,0.997701028197979,0.001806050278265464,0.0001356925571508494,0.0003572289666048943,0.999999999997945,8.833905792777912e-13,9.899317892440647e-13,1.8161493258255867e-13,Ca-SO4,Ca-SO4,0.9999998064657911,3.3333340197978064e-08,5.593649788599129e-08,1.0426437086938974e-07,0.9999998166665979,5.000002537096646e-08,1.0000003617795409e-07,3.3333340538006536e-08,Ca-SO4,Ca-SO4,0.9991071522776078,7.035437047426261e-07,3.711543156580502e-05,0.0008550287471218526,0.9999951258208523,8.835513784950444e-08,2.9518744961740694e-06,1.833949513867339e-06,Ca-SO4,Ca-SO4,0.9999998124816281,3.333334039850616e-08,5.221266596477102e-08,1.0197236543801063e-07,0.9999998166665899,5.0000029458956826e-08,1.0000004026593438e-07,3.333334053800614e-08,Ca-SO4,Ca-SO4
1,OS102,3194.9173,505.171211,145.874798,376.558327,2896.39631,3222.2110199999997,975.949188,1493.73279,79.71748340735566,20.78466204484674,6.3452049571851985,9.631066491381977,30.1532055259432,90.89452806770097,15.994971614002885,24.892227536328488,Ca-Cl,0.14431201879914546,1.330827929000505,0.9135333653552994,-0.22776390498813257,-1.3311724702944876,0.40625293308150057,-0.03602827580520212,0.9998208642251818,5.539077177821285e-06,0.0001229700853755274,5.0626612264760646e-05,6.495951593667221e-14,0.9999999999998429,3.2001505482044673e-14,6.012104861141864e-14,Ca-Cl,Ca-Cl,0.9999998166666272,1.0000002161401678e-07,3.333334053800725e-08,5.000001080701169e-08,2.793335629598615e-14,0.9999999166605918,3.333334387113962e-08,5.000603635449878e-08,Ca-Cl,Ca-Cl,0.9999259875570349,3.5836068579598516e-05,3.4444483944542086e-07,3.783192954617208e-05,3.38349115405338e-11,0.9999992428905979,1.7851458778228405e-07,5.78560979349967e-07,Ca-Cl,Ca-Cl,0.9999998166666272,1.0000002161401678e-07,3.333334053800725e-08,5.000001080701169e-08,2.7936891373992982e-14,0.9999999166514076,3.333334387083348e-08,5.0015220452745965e-08,Ca-Cl,Ca-Cl
2,OS103,2590.80856,447.20427800000004,274.16654500000004,110.466788,1705.4066100000002,83.0479114,7524.18617,590.245267,64.64415789211039,18.399682287595148,11.925589233229575,2.825360386512968,17.754295515116183,2.3426773314527503,123.31496935230103,9.836109635381948,Ca-CO3,-0.23392370893271236,0.19972324140935596,1.6397737616455719,-0.19821779894093114,1.8271152544952927,-2.1363321201857484,0.39234941792466044,0.9819513488692503,0.007487185290217361,0.0005269231000903695,0.010034542740442045,3.738070260432074e-15,2.2913698352815482e-17,0.9999999999999847,1.1583868993969014e-14,Ca-HCO3,Ca-HCO3,0.9999998166665586,1.0000002161396314e-07,5.00000791927915e-08,3.3333340538004584e-08,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,Ca-HCO3,Ca-HCO3,0.9992238010710985,0.0006738893909980212,9.907500413801645e-05,3.234533765271541e-06,5.347160361634856e-13,1.89408851501633e-13,0.999999949193715,5.080556058853642e-08,Ca-HCO3,Ca-HCO3,0.9999998166662681,1.0000002161269357e-07,5.000036959566805e-08,3.333334053799006e-08,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,Ca-HCO3,Ca-HCO3
3,OS104,3561.7653200000004,427.773391,215.166333,641.127553,803.102963,573.7072919999999,699.121505,5830.86545,88.8708348719996,17.600221806212712,9.359221068268155,16.397837067084758,8.360778743649538,16.183562538787022,11.458002900878459,97.16813508198906,Ca-HCO3,0.1709992373907618,0.802548674156707,0.241761302002137,0.9153591680686158,0.254914672956408,0.6002223128198841,-1.5375320873631488,0.9998762682375537,3.792238626617108e-05,7.559714230892403e-05,1.021223387120089e-05,1.1410647139801517e-15,9.893254760213907e-17,8.433850488911551e-17,0.9999999999999987,Ca-CO3,Ca-CO3,0.9999998128145131,9.984224993266197e-08,3.333334040960332e-08,5.40098966242759e-08,1.8751109201240258e-14,4.0180947708009136e-14,2.04654961094827e-14,0.9999999999999206,Ca-CO3,Ca-CO3,0.9999773345439533,9.944821706888867e-07,3.3731897023322176e-08,2.1637241979128232e-05,5.567208439361743e-14,1.183460268864684e-13,6.157104898944672e-14,0.9999999999997643,Ca-CO3,Ca-CO3,0.999999810015407,9.950566730240007e-08,3.333334031629969e-08,5.714558558703059e-08,1.875114779725826e-14,4.0180945527106235e-14,2.046551426945781e-14,0.9999999999999206,Ca-CO3,Ca-CO3
4,OS105,692.280571,2138.4162699999997,205.058295,241.522708,8577.59338,162.60585,852.3460689999999,853.825315,17.273331279005937,87.98256613865459,8.919545581450915,6.177319934626313,89.29784063462981,4.586906911142454,13.969222318736069,14.22852478002933,Mg-SO4,-1.6467986289892735,0.6420950522906933,1.00945554392896,-1.6616372527655023,1.3071341324532384,0.1934835500322245,0.17509131678353296,0.00028706708751605393,0.9997129329124762,3.036767762751023e-15,4.7538850945030694e-15,0.9999999999996984,4.903889868080755e-14,1.6787274964629874e-13,8.470508162793182e-14,Mg-SO4,Mg-SO4,2.793104190586204e-14,0.9999999166665313,5.000001580690597e-08,3.3333425145179605e-08,0.9999997918672574,3.3333339711359766e-08,7.308265511277176e-08,1.0171674788715092e-07,Mg-SO4,Mg-SO4,7.77946747323471e-10,0.9999999130831172,5.13836043698468e-08,3.4755331620994296e-08,0.9999997906797999,3.333459844816888e-08,7.920517120222865e-08,9.678043043807933e-08,Mg-SO4,Mg-SO4,2.7931050409844527e-14,0.9999999166663768,5.0000015806105525e-08,3.333357966033631e-08,0.9999998002587912,3.333333999107785e-08,6.087951334068411e-08,1.0552835545383286e-07,Mg-SO4,Mg-SO4
5,OS106,512.101361,1607.05953,165.225483,31.9705966,978.960251,3090.51113,1770.93218,876.541285,12.77761767054244,66.12053198930262,7.186913491286677,0.8176978692168202,10.191557539352045,87.17943949224258,29.024062213189985,14.607073806825756,Mg-Cl,-1.5228126791802874,0.6964048379737723,2.869929003198088,0.3471069542118886,-1.7993018779183172,-0.6994585778835114,-0.012839279139959192,0.011506956469773767,0.9884930405674358,1.8126401477726575e-09,1.150150262399282e-09,5.159059256462076e-13,0.9999999875380611,1.2317905135334971e-08,1.4351775809582892e-10,Mg-Cl,Mg-Cl,2.793103911418817e-14,0.9999999166666081,5.000002017127154e-08,3.3333343871340865e-08,1.4000851514103033e-14,0.9999998499999486,1.0000002494734847e-07,5.000001235862774e-08,Mg-Cl,Mg-Cl,8.313948524061715e-08,0.9999997073533756,1.472362083051579e-07,6.227093087676883e-08,4.935763514046209e-08,0.9996813961408656,0.00031707831305650074,1.4761884427959202e-06,Mg-Cl,Mg-Cl,2.7931037432833625e-14,0.9999999166666126,5.000001580701022e-08,3.333334387134102e-08,1.4001393021101832e-14,0.9999998499999453,1.0000002494734829e-07,5.000001575003432e-08,Mg-Cl,Mg-Cl
6,OS107,428.850504,1723.64505,121.497863,946.735908,1955.9293699999998,724.7688509999999,6700.3261600000005,652.6513219999999,10.70039682618893,70.91730302406913,5.28486656478529,24.214247371369087,20.362386212209543,20.44481949224259,109.81260915169793,10.87607189041461,Mg-CO3,-1.1864715455458121,1.410195535420168,-0.11189828776898043,0.0613535207042425,0.05731338167791416,-1.6237324534175983,0.6884777697582756,1.976775034450798e-05,0.9999802322253045,6.584857024015655e-12,1.7766079742262647e-11,4.992724537616812e-15,5.2111262373720334e-17,0.9999999999999842,1.0785764452198609e-14,Mg-HCO3,Mg-HCO3,1.646341578038426e-14,0.9999998666666147,3.333334220467309e-08,1.0000002661401961e-07,2.496537539497061e-14,2.9329708399813547e-14,0.9999999666666002,3.3333345538006746e-08,Mg-HCO3,Mg-HCO3,5.314300362791144e-12,0.9999971275931216,3.334907864768088e-08,2.8390524853427006e-06,2.5054716262397813e-14,2.9311216139746336e-14,0.9999999666352132,3.336473259350551e-08,Mg-HCO3,Mg-HCO3,1.6463476494410257e-14,0.9999998666666147,3.33333422046731e-08,1.0000002661317034e-07,2.852881273847451e-14,2.5992986561384644e-14,0.9999999666666,3.3333345538006746e-08,Mg-HCO3,Mg-HCO3
7,OS108,245.30183,1081.61215,127.324329,194.247084,1331.68104,175.726402,251.015788,2248.88139,6.120610559409152,44.50163135157375,5.538303905936371,4.968172120015448,13.863590405596735,4.957021212976023,4.113933853415498,37.47635965204639,Mg-HCO3,-1.521764718337082,0.5620728300277641,0.6707091399822666,-0.35550487848837076,0.6729561313217854,0.8593814170589875,-1.3499491951570286,0.00017837589821549475,0.9998216241017843,1.7308556595557517e-17,1.3775914241220106e-16,2.184927357643579e-11,6.455943295934941e-13,5.067818847316757e-15,0.9999999999775001,Mg-CO3,Mg-CO3,2.8095670782248514e-14,0.9999999158659707,5.03574574743708e-08,3.3776543727831974e-08,3.9725217999673697e-14,2.133856383290835e-14,1.3430961227838948e-14,0.9999999999999254,Mg-CO3,Mg-CO3,3.242769457491087e-13,0.9999998903593567,5.976569827511654e-08,4.9874620796907754e-08,2.9462924082675354e-11,1.6470821620190085e-11,1.0854237015952328e-11,0.999999999943212,Mg-CO3,Mg-CO3,2.7940521015209863e-14,0.9999999164953302,4.9999600717190786e-08,3.350504120340071e-08,3.972494517786289e-14,2.1336039804910407e-14,1.3427951914580204e-14,0.9999999999999255,Mg-CO3,Mg-CO3
8,OS109,869.583985,479.527508,3103.53591,319.474517,7739.86505,463.179172,289.156126,1412.09291,21.69728990967613,19.72958271960502,134.9963921864987,8.171059023026576,80.57659125926543,13.065703018335682,4.7390213386652675,23.53174426743101,Na-SO4,0.1101974509560169,-1.812931432308501,0.9917180973753745,-1.2968915550744735,0.5223259144163807,1.5364859754749847,-0.06603370827602738,0.00024037241727300161,2.556288307505317e-19,0.9997596275827253,1.83651194220605e-15,0.9999999998231472,7.985387241538687e-11,8.342303246913749e-11,1.3575900329321852e-11,Na-SO4,Na-SO4,2.996828304653675e-14,1.7119059118184143e-14,0.9999999666666075,3.333334553800737e-08,0.9999998166666272,5.000001080700914e-08,3.3333340538007e-08,1.0000002161402114e-07,Na-SO4,Na-SO4,8.345442326860254e-11,7.121721641924824e-11,0.9999999663167513,3.352857718116744e-08,0.9999963848487183,5.0187249097356234e-08,3.3339396051192354e-08,3.5316246364521523e-06,Na-SO4,Na-SO4,2.959551693936282e-14,1.5906063483514846e-14,0.999999966666609,3.333334553800749e-08,0.9999998166666272,5.000001080700914e-08,3.3333340538007e-08,1.0000002161402114e-07,Na-SO4,Na-SO4
9,OS110,323.237712,22.6449247,1199.5746800000002,100.419675,412.211657,1207.1518,692.401035,562.817436,8.06521562952243,0.9316981979016664,52.178630650442095,2.5683898021141585,4.291368129008079,34.05223695345557,11.34786015143569,9.379040061325156,Na-Cl,2.1415931192220192,-1.883826256069478,1.1275676140809012,0.6142411872006346,-1.4570489460844622,-0.35818241274980306,-0.16763063841334813,0.007817431147175185,5.910403025494581e-17,0.9921825688526917,1.3301109915803248e-13,1.4208045437676048e-10,0.9999999990647286,6.09584731251027e-10,1.836062004950603e-10,Na-Cl,Na-Cl,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,1.402082748124926e-14,0.9999998497403172,9.999934821870657e-08,5.0260320324388146e-08,Na-Cl,Na-Cl,2.029814243517306e-09,7.178685178690485e-10,0.9999999035318392,9.372047806022057e-08,2.658825733316755e-08,0.9997440371648676,0.0002227696992401682,3.316654763517002e-05,Na-Cl,Na-Cl,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,1.4051361713136033e-14,0.9999998493621977,9.999591820872088e-08,5.064187002167224e-08,Na-Cl,Na-Cl
